Namespace(dataset='movielens', dropout=0.5, gpu=0, l2norm=0, lr=0.01, model_path=None, n_bases=-1, n_epochs=200, n_hidden=3, n_layers=2, use_self_loop=False, validation=False)
Graph constructed.
current iteration: 	 1
select index length:	 20
idx_select:	 [3240, 7994, 8333, 976, 6286, 9452, 1631, 8221, 3678, 3248, 9484, 3932, 4872, 5293, 7696, 7614, 98, 4007, 5442, 6082]
train index length:	 20
train index:	 [3240, 7994, 8333, 976, 6286, 9452, 1631, 8221, 3678, 3248, 9484, 3932, 4872, 5293, 7696, 7614, 98, 4007, 5442, 6082]
start training...
Epoch 00096 | Train Acc: 0.9500 | Train Loss: 0.1755 | Valid Acc: 0.3551 | Valid loss: 1.8842 | Time: 0.0356
Epoch 00097 | Train Acc: 0.9500 | Train Loss: 0.1323 | Valid Acc: 0.3769 | Valid loss: 1.8473 | Time: 0.0355
Epoch 00098 | Train Acc: 0.9500 | Train Loss: 0.2150 | Valid Acc: 0.3824 | Valid loss: 1.8217 | Time: 0.0354
Epoch 00099 | Train Acc: 0.9500 | Train Loss: 0.1572 | Valid Acc: 0.3551 | Valid loss: 1.9928 | Time: 0.0354
Epoch 00100 | Train Acc: 1.0000 | Train Loss: 0.0217 | Valid Acc: 0.3649 | Valid loss: 1.9097 | Time: 0.0353
Epoch 00101 | Train Acc: 1.0000 | Train Loss: 0.1189 | Valid Acc: 0.3617 | Valid loss: 1.9044 | Time: 0.0353
Epoch 00102 | Train Acc: 0.9500 | Train Loss: 0.2159 | Valid Acc: 0.3780 | Valid loss: 1.9441 | Time: 0.0352
Epoch 00103 | Train Acc: 0.9500 | Train Loss: 0.2084 | Valid Acc: 0.3595 | Valid loss: 1.9501 | Time: 0.0352
Epoch 00104 | Train Acc: 0.9500 | Train Loss: 0.2033 | Valid Acc: 0.3453 | Valid loss: 2.0252 | Time: 0.0351
Epoch 00105 | Train Acc: 0.9500 | Train Loss: 0.0740 | Valid Acc: 0.3475 | Valid loss: 2.0504 | Time: 0.0351
Epoch 00106 | Train Acc: 0.9000 | Train Loss: 0.2212 | Valid Acc: 0.3519 | Valid loss: 1.9087 | Time: 0.0352
Epoch 00107 | Train Acc: 0.9500 | Train Loss: 0.2014 | Valid Acc: 0.3682 | Valid loss: 1.9416 | Time: 0.0352
Epoch 00108 | Train Acc: 1.0000 | Train Loss: 0.1050 | Valid Acc: 0.3606 | Valid loss: 1.9904 | Time: 0.0353
Epoch 00109 | Train Acc: 0.9500 | Train Loss: 0.1282 | Valid Acc: 0.3715 | Valid loss: 1.9815 | Time: 0.0353
Epoch 00110 | Train Acc: 0.9500 | Train Loss: 0.3128 | Valid Acc: 0.3715 | Valid loss: 1.9686 | Time: 0.0353
Epoch 00111 | Train Acc: 1.0000 | Train Loss: 0.1538 | Valid Acc: 0.3551 | Valid loss: 1.9559 | Time: 0.0354
Epoch 00112 | Train Acc: 1.0000 | Train Loss: 0.0816 | Valid Acc: 0.4074 | Valid loss: 1.8777 | Time: 0.0354
Epoch 00113 | Train Acc: 1.0000 | Train Loss: 0.0586 | Valid Acc: 0.3617 | Valid loss: 2.1271 | Time: 0.0355
Epoch 00114 | Train Acc: 1.0000 | Train Loss: 0.1519 | Valid Acc: 0.3671 | Valid loss: 2.0615 | Time: 0.0355
Epoch 00115 | Train Acc: 0.9500 | Train Loss: 0.0989 | Valid Acc: 0.3736 | Valid loss: 2.0864 | Time: 0.0355
Epoch 00116 | Train Acc: 1.0000 | Train Loss: 0.1457 | Valid Acc: 0.3736 | Valid loss: 2.0441 | Time: 0.0356
Epoch 00117 | Train Acc: 1.0000 | Train Loss: 0.1478 | Valid Acc: 0.3704 | Valid loss: 1.9034 | Time: 0.0356
Epoch 00118 | Train Acc: 0.9500 | Train Loss: 0.2351 | Valid Acc: 0.3671 | Valid loss: 2.0410 | Time: 0.0357
Epoch 00119 | Train Acc: 1.0000 | Train Loss: 0.1397 | Valid Acc: 0.3486 | Valid loss: 2.1148 | Time: 0.0357
Epoch 00120 | Train Acc: 0.8500 | Train Loss: 0.2376 | Valid Acc: 0.3649 | Valid loss: 1.9931 | Time: 0.0366
Epoch 00121 | Train Acc: 0.9500 | Train Loss: 0.1821 | Valid Acc: 0.3671 | Valid loss: 2.0723 | Time: 0.0366
Epoch 00122 | Train Acc: 1.0000 | Train Loss: 0.0933 | Valid Acc: 0.3595 | Valid loss: 2.0608 | Time: 0.0366
Epoch 00123 | Train Acc: 0.9500 | Train Loss: 0.1332 | Valid Acc: 0.3911 | Valid loss: 2.1020 | Time: 0.0365
Epoch 00124 | Train Acc: 1.0000 | Train Loss: 0.0997 | Valid Acc: 0.3649 | Valid loss: 2.1272 | Time: 0.0365
Epoch 00125 | Train Acc: 0.9500 | Train Loss: 0.1503 | Valid Acc: 0.3845 | Valid loss: 2.1504 | Time: 0.0366
Epoch 00126 | Train Acc: 1.0000 | Train Loss: 0.1336 | Valid Acc: 0.3704 | Valid loss: 2.1277 | Time: 0.0366
Epoch 00127 | Train Acc: 0.9500 | Train Loss: 0.1979 | Valid Acc: 0.3627 | Valid loss: 2.2036 | Time: 0.0367
Epoch 00128 | Train Acc: 0.9500 | Train Loss: 0.1089 | Valid Acc: 0.3638 | Valid loss: 2.1780 | Time: 0.0367
Epoch 00129 | Train Acc: 0.9500 | Train Loss: 0.0709 | Valid Acc: 0.3584 | Valid loss: 2.1709 | Time: 0.0368
Epoch 00130 | Train Acc: 0.9500 | Train Loss: 0.1155 | Valid Acc: 0.3475 | Valid loss: 2.2575 | Time: 0.0368
Epoch 00131 | Train Acc: 0.9500 | Train Loss: 0.1498 | Valid Acc: 0.3595 | Valid loss: 2.2296 | Time: 0.0369
Epoch 00132 | Train Acc: 0.9500 | Train Loss: 0.1877 | Valid Acc: 0.3617 | Valid loss: 2.2026 | Time: 0.0368
Epoch 00133 | Train Acc: 1.0000 | Train Loss: 0.0762 | Valid Acc: 0.3638 | Valid loss: 2.0750 | Time: 0.0369
Epoch 00134 | Train Acc: 0.9500 | Train Loss: 0.1870 | Valid Acc: 0.3660 | Valid loss: 2.3510 | Time: 0.0369
Epoch 00135 | Train Acc: 1.0000 | Train Loss: 0.0369 | Valid Acc: 0.3736 | Valid loss: 2.1442 | Time: 0.0375
Epoch 00136 | Train Acc: 0.9500 | Train Loss: 0.1095 | Valid Acc: 0.3758 | Valid loss: 2.1836 | Time: 0.0378
Epoch 00137 | Train Acc: 0.9500 | Train Loss: 0.0956 | Valid Acc: 0.3638 | Valid loss: 2.2178 | Time: 0.0380
Epoch 00138 | Train Acc: 0.9000 | Train Loss: 0.1545 | Valid Acc: 0.3617 | Valid loss: 2.2091 | Time: 0.0381
Epoch 00139 | Train Acc: 0.9500 | Train Loss: 0.1157 | Valid Acc: 0.3704 | Valid loss: 2.1661 | Time: 0.0381
Epoch 00140 | Train Acc: 1.0000 | Train Loss: 0.1386 | Valid Acc: 0.3508 | Valid loss: 2.1965 | Time: 0.0381
Epoch 00141 | Train Acc: 1.0000 | Train Loss: 0.2242 | Valid Acc: 0.3627 | Valid loss: 2.1565 | Time: 0.0383
Epoch 00142 | Train Acc: 0.9000 | Train Loss: 0.1730 | Valid Acc: 0.3758 | Valid loss: 2.2073 | Time: 0.0384
Epoch 00143 | Train Acc: 0.9500 | Train Loss: 0.0933 | Valid Acc: 0.3682 | Valid loss: 2.2906 | Time: 0.0385
Epoch 00144 | Train Acc: 0.9500 | Train Loss: 0.1387 | Valid Acc: 0.3671 | Valid loss: 2.3253 | Time: 0.0385
Epoch 00145 | Train Acc: 0.8500 | Train Loss: 0.2706 | Valid Acc: 0.3486 | Valid loss: 2.1761 | Time: 0.0385
Epoch 00146 | Train Acc: 0.9500 | Train Loss: 0.1606 | Valid Acc: 0.3475 | Valid loss: 2.3332 | Time: 0.0384
Epoch 00147 | Train Acc: 1.0000 | Train Loss: 0.0248 | Valid Acc: 0.3791 | Valid loss: 2.2103 | Time: 0.0384
Epoch 00148 | Train Acc: 1.0000 | Train Loss: 0.0692 | Valid Acc: 0.3671 | Valid loss: 2.1811 | Time: 0.0384
Epoch 00149 | Train Acc: 1.0000 | Train Loss: 0.0825 | Valid Acc: 0.3660 | Valid loss: 2.2467 | Time: 0.0384
Epoch 00150 | Train Acc: 1.0000 | Train Loss: 0.0621 | Valid Acc: 0.3791 | Valid loss: 2.2412 | Time: 0.0383
Epoch 00151 | Train Acc: 0.9500 | Train Loss: 0.1413 | Valid Acc: 0.3682 | Valid loss: 2.3783 | Time: 0.0383
Epoch 00152 | Train Acc: 1.0000 | Train Loss: 0.1113 | Valid Acc: 0.3497 | Valid loss: 2.2935 | Time: 0.0382
Epoch 00153 | Train Acc: 0.9500 | Train Loss: 0.2052 | Valid Acc: 0.3693 | Valid loss: 2.1448 | Time: 0.0382
Epoch 00154 | Train Acc: 0.9500 | Train Loss: 0.0816 | Valid Acc: 0.3649 | Valid loss: 2.2310 | Time: 0.0381
Epoch 00155 | Train Acc: 0.9500 | Train Loss: 0.1366 | Valid Acc: 0.3747 | Valid loss: 2.2930 | Time: 0.0381
Epoch 00156 | Train Acc: 1.0000 | Train Loss: 0.0685 | Valid Acc: 0.3595 | Valid loss: 2.4305 | Time: 0.0380
Epoch 00157 | Train Acc: 0.9500 | Train Loss: 0.1138 | Valid Acc: 0.3519 | Valid loss: 2.3110 | Time: 0.0380
Epoch 00158 | Train Acc: 1.0000 | Train Loss: 0.1523 | Valid Acc: 0.3998 | Valid loss: 2.2178 | Time: 0.0379
Epoch 00159 | Train Acc: 1.0000 | Train Loss: 0.1337 | Valid Acc: 0.3780 | Valid loss: 2.3068 | Time: 0.0379
Epoch 00160 | Train Acc: 1.0000 | Train Loss: 0.0453 | Valid Acc: 0.3791 | Valid loss: 2.4050 | Time: 0.0378
Epoch 00161 | Train Acc: 0.9500 | Train Loss: 0.1058 | Valid Acc: 0.3475 | Valid loss: 2.3102 | Time: 0.0377
Epoch 00162 | Train Acc: 1.0000 | Train Loss: 0.0596 | Valid Acc: 0.3638 | Valid loss: 2.2994 | Time: 0.0377
Epoch 00163 | Train Acc: 0.9500 | Train Loss: 0.0987 | Valid Acc: 0.3649 | Valid loss: 2.3807 | Time: 0.0376
Epoch 00164 | Train Acc: 0.9500 | Train Loss: 0.1267 | Valid Acc: 0.3693 | Valid loss: 2.4599 | Time: 0.0376
Epoch 00165 | Train Acc: 0.9500 | Train Loss: 0.2066 | Valid Acc: 0.3377 | Valid loss: 2.5122 | Time: 0.0376
Epoch 00166 | Train Acc: 0.9500 | Train Loss: 0.1757 | Valid Acc: 0.3649 | Valid loss: 2.4306 | Time: 0.0375
Epoch 00167 | Train Acc: 0.9500 | Train Loss: 0.1547 | Valid Acc: 0.3780 | Valid loss: 2.2960 | Time: 0.0375
Epoch 00168 | Train Acc: 0.9500 | Train Loss: 0.1324 | Valid Acc: 0.3715 | Valid loss: 2.3853 | Time: 0.0374
Epoch 00169 | Train Acc: 0.9000 | Train Loss: 0.1602 | Valid Acc: 0.3540 | Valid loss: 2.4662 | Time: 0.0374
Epoch 00170 | Train Acc: 0.9500 | Train Loss: 0.1482 | Valid Acc: 0.3562 | Valid loss: 2.5294 | Time: 0.0373
