Namespace(dataset='cora', dropout=0.5, gpu=0, l2norm=0, lr=0.01, model_path=None, n_bases=-1, n_epochs=200, n_hidden=3, n_layers=2, use_self_loop=False, validation=False)
Graph constructed.
adj_shape:	 (56670, 56670)
current iteration: 	 1
select index length:	 20
idx_select:	 [29087, 31381, 37825, 27310, 43992, 35331, 30029, 33078, 34808, 31651, 33841, 39204, 43238, 27564, 38435, 37443, 25485, 31044, 36721, 30714]
train index length:	 20
train index:	 [29087, 31381, 37825, 27310, 43992, 35331, 30029, 33078, 34808, 31651, 33841, 39204, 43238, 27564, 38435, 37443, 25485, 31044, 36721, 30714]
rgcn index: 	 [4126, 6420, 12864, 2349, 19031, 10370, 5068, 8117, 9847, 6690, 8880, 14243, 18277, 2603, 13474, 12482, 524, 6083, 11760, 5753]
others:	 ['author', 'paper', 'term']
start training...
Epoch 00114 | Train Acc: 0.9500 | Train Loss: 0.2438 | Valid Acc: 0.2866 | Valid loss: 2.5470 | Time: 0.0389
Epoch 00115 | Train Acc: 0.9500 | Train Loss: 0.2333 | Valid Acc: 0.2840 | Valid loss: 2.5638 | Time: 0.0388
Epoch 00116 | Train Acc: 1.0000 | Train Loss: 0.2420 | Valid Acc: 0.2878 | Valid loss: 2.5626 | Time: 0.0388
Epoch 00117 | Train Acc: 0.9500 | Train Loss: 0.1792 | Valid Acc: 0.2950 | Valid loss: 2.5649 | Time: 0.0388
Epoch 00118 | Train Acc: 1.0000 | Train Loss: 0.1317 | Valid Acc: 0.2832 | Valid loss: 2.5871 | Time: 0.0388
Epoch 00119 | Train Acc: 1.0000 | Train Loss: 0.1472 | Valid Acc: 0.3001 | Valid loss: 2.5651 | Time: 0.0387
Epoch 00120 | Train Acc: 0.9500 | Train Loss: 0.1549 | Valid Acc: 0.2820 | Valid loss: 2.6050 | Time: 0.0387
Epoch 00121 | Train Acc: 1.0000 | Train Loss: 0.1461 | Valid Acc: 0.2894 | Valid loss: 2.5951 | Time: 0.0387
Epoch 00122 | Train Acc: 1.0000 | Train Loss: 0.0964 | Valid Acc: 0.2832 | Valid loss: 2.6218 | Time: 0.0387
Epoch 00123 | Train Acc: 1.0000 | Train Loss: 0.1308 | Valid Acc: 0.2914 | Valid loss: 2.5979 | Time: 0.0386
Epoch 00124 | Train Acc: 1.0000 | Train Loss: 0.1672 | Valid Acc: 0.2963 | Valid loss: 2.6001 | Time: 0.0386
Epoch 00125 | Train Acc: 1.0000 | Train Loss: 0.0763 | Valid Acc: 0.2804 | Valid loss: 2.6487 | Time: 0.0386
Epoch 00126 | Train Acc: 0.9500 | Train Loss: 0.1218 | Valid Acc: 0.2876 | Valid loss: 2.6787 | Time: 0.0386
Epoch 00127 | Train Acc: 1.0000 | Train Loss: 0.1024 | Valid Acc: 0.2996 | Valid loss: 2.6153 | Time: 0.0385
Epoch 00128 | Train Acc: 1.0000 | Train Loss: 0.0782 | Valid Acc: 0.2804 | Valid loss: 2.6339 | Time: 0.0385
Epoch 00129 | Train Acc: 0.9500 | Train Loss: 0.2388 | Valid Acc: 0.2784 | Valid loss: 2.6323 | Time: 0.0385
Epoch 00130 | Train Acc: 1.0000 | Train Loss: 0.0611 | Valid Acc: 0.2845 | Valid loss: 2.6777 | Time: 0.0385
Epoch 00131 | Train Acc: 1.0000 | Train Loss: 0.1002 | Valid Acc: 0.2702 | Valid loss: 2.7285 | Time: 0.0385
Epoch 00132 | Train Acc: 1.0000 | Train Loss: 0.1261 | Valid Acc: 0.2860 | Valid loss: 2.6995 | Time: 0.0385
Epoch 00133 | Train Acc: 0.9500 | Train Loss: 0.1315 | Valid Acc: 0.2725 | Valid loss: 2.6997 | Time: 0.0384
Epoch 00134 | Train Acc: 1.0000 | Train Loss: 0.0519 | Valid Acc: 0.2866 | Valid loss: 2.7107 | Time: 0.0384
Epoch 00135 | Train Acc: 1.0000 | Train Loss: 0.0485 | Valid Acc: 0.2975 | Valid loss: 2.6739 | Time: 0.0384
